Marca temporal,Age,Gender Identity ,Sexual Orientation,Where are you from? (place of birth),Education,Employment,Favorite character,Least Favorite Character,Favorite race,How long have you been following the comic? (in years),How long have you been part of TKGC? (in years),"Do you participate in other Twokinds fan communities (Discord, forums, etc)?",Do you identify as a furry or a member of the furry fandom?,Favorite chapter of the comic?,Least Favorite chapter of the comic?,"If you are a patron of Thomas Fischbach's Patreon, what tier are you subscribed to?",If money were not an issue would you subscribe to Tom patreon. If so which tier?,How do you feel about the Sunday Sketches Tom does weekly?,Do you own any official Twokinds merchandise?,Do you follow Tom on Picarto?,Have you ever commissioned Twokinds-related art from artists other than Thomas Fischbach?,"Have you ever made Twokinds fan art? (Drawings, Fanfiction, DIY, etc)"
24/10/2024 11:15:47,29,Cisgender Male,Pansexual,North America,High School Diploma,Employed Full-time,Adelaide,Roderick,"Basitins (Eastern, Western, Northern)",18,8,No,Yes,12,3,I am not a Patron,$10 USD,I like them,I do not own any official merchandise,Yes,Yes,Yes
24/10/2024 11:17:02,,Cisgender Male,Heterosexual,,,,Laura,Nora,"Canine Keidran (Wolves, Foxes, Dogs)",12,,,,,,Less than $5 (Custom pledge),$10 USD,I like them,Digital Books/Volumes,No,No,Yes
24/10/2024 11:26:36,34,Genderfluid,Pansexual,North America,Some College,Unemployed,Natani,Willow,"Canine Keidran (Wolves, Foxes, Dogs)",3,3,No,Yes,19,1,I am not a Patron,$10 USD,I do not like nor dislike them,I do not own any official merchandise,No,No,Yes
24/10/2024 11:28:32,31,Cisgender Male,Heterosexual,North America,Bachelor's Degree,Employed Full-time,Flora,Alabaster,"Feline Keidran (Tigers, Cats, Lions)",15,7,Yes,Yes,11,6.5,$10 USD,$10 USD,I love them,"Apparel, Books or Volumes, Prints or posters, Side comics",Yes,No,No
24/10/2024 11:32:18,,Genderqueer,Homosexual,North America,High School Diploma,Employed Part-time,Raine,Masks,"Feline Keidran (Tigers, Cats, Lions)",6.5,6,No,Yes,,,I am not a Patron,$10 USD,I love them,I do not own any official merchandise,No,No,No
24/10/2024 11:36:06,19,Cisgender Male,Bisexual,Northern Europe,Some College,Employed Part-time,Natani,Euchre,"Feline Keidran (Tigers, Cats, Lions)",2,1,No,Yes,19,1,I am not a Patron,$10 USD,I like them,I do not own any official merchandise,Yes,No,Yes
24/10/2024 11:37:00,21,Cisgender Male,Bisexual,Southern Europe,Some College,Employed Full-time,Keith,Sirius,"Basitins (Eastern, Western, Northern)",10,3,No,Yes,,,I am not a Patron,$5 USD,I love them,I do not own any official merchandise,Yes,No,No
24/10/2024 11:48:49,30,Cisgender Male,Heterosexual,Western Europe,Master's Degree,Employed Full-time,Keith,Roderick,"Canine Keidran (Wolves, Foxes, Dogs)",7,3,No,No,18,6,I am not a Patron,$10 USD,I love them,I do not own any official merchandise,No,No,Yes
24/10/2024 11:58:57,29,Cisgender Male,I don't know,Northern Europe,Trade School,Employed Full-time,Seraphina,Masks,"Feline Keidran (Tigers, Cats, Lions)",5,5,No,Yes,21,1,I am not a Patron,Custom pledge,I like them,I do not own any official merchandise,No,No,Yes
24/10/2024 11:59:26,20,Agender,Demisexual,North America,Some College,Unemployed,Natani,"None","Canine Keidran (Wolves, Foxes, Dogs)",3,2,No,Yes,,,I am not a Patron,I would not subscribe,I like them,I do not own any official merchandise,Yes,No,Yes
24/10/2024 12:03:24,,Cisgender Male,Heterosexual,North America,Some College,Unemployed,Laura,Roderick,Humans,8,,,,,,Less than $5 (Custom pledge),$10 USD,I love them,I do not own any official merchandise,No,No,No
24/10/2024 12:06:21,19,Transgender Female,Not sure lol,"Oceania (Australia, New Zealand, Pacific Islands)",Some College,Employed Part-time,Kathrin,Alabaster,"Feline Keidran (Tigers, Cats, Lions)",7,3,No,Yes,15,10,I am not a Patron,$10 USD,I love them,I do not own any official merchandise,Yes,No,Yes
24/10/2024 12:18:01,23,Cisgender Male,Heterosexual,North America,High School Diploma,Employed Part-time,Windstraw,Laura,Cat Clans (mini cats),6,3,Yes,No,5,21,I am not a Patron,$5 USD,I do not like nor dislike them,I do not own any official merchandise,No,No,No
24/10/2024 12:20:23,22,Non-binary,Bisexual,North America,Bachelor's Degree,Unemployed,Natani,Sealeen,"Basitins (Eastern, Western, Northern)",8,3,No,Yes,18,6,I am not a Patron,$5 USD,I love them,"Apparel, Books or Volumes, Prints or posters",No,No,No
24/10/2024 12:21:30,29,Cisgender Male,Pansexual,North America,High School Diploma,Employed Part-time,Adira,Eric,Dragons,5,5,No,Yes,,,$10 USD,$10 USD,I like them,"Books or Volumes, Prints or posters, Side comics, Convention Sketch Commissions",Yes,No,No
24/10/2024 12:34:09,27,Cisgender Male,Heterosexual,Western Europe,High School Diploma,Employed Part-time,Raine,Madelyn (Maddie),Humans,8,4,Yes,No,16,,I am not a Patron,$5 USD,I do not like nor dislike them,I do not own any official merchandise,No,No,No
24/10/2024 12:44:41,33,Cisgender Male,Heterosexual,North America,Some College,Unemployed,Kathrin,Alabaster,"Feline Keidran (Tigers, Cats, Lions)",18,3,Yes,Yes,12,6,I am not a Patron,$5 USD,I love them,"Books or Volumes, Prints or posters",Yes,No,No
24/10/2024 12:45:26,25,Cisgender Male,Heterosexual,Western Europe,Some High School,Employed Full-time,Laura,"None",Dragons,3,1,No,Yes,0,0,I am not a Patron,I would not subscribe,I love them,I do not own any official merchandise,No,No,No
24/10/2024 13:05:38,24,Non-binary,Asexual,North America,Trade School,Employed Full-time,Nora,Red,Dragons,7,7,No,Yes,,,I am not a Patron,$5 USD,I like them,I do not own any official merchandise,Yes,No,Yes
